,순위,노래제목,가수,지난주 순위,최고순위,HOT100에 들었던 기간
0,1,Mood,24kGoldn Featuring iann dior,3,1,13
1,2,Positions,Ariana Grande,1,1,2
2,3,Laugh Now Cry Later,Drake Featuring Lil Durk,4,2,12
3,4,Blinding Lights,The Weeknd,5,1,49
4,5,I Hope,Gabby Barrett Featuring Charlie Puth,6,5,45
5,6,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,8,1,21
6,7,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,9,7,12
7,8,34+35,Ariana Grande,-,8,1
8,9,Dakiti,Bad Bunny & Jhay Cortez,-,9,1
9,10,WAP,Cardi B Featuring Megan Thee Stallion,7,1,13
10,11,Holy,Justin Bieber Featuring Chance The Rapper,10,3,7
11,12,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,14,6,18
12,13,Rockstar,DaBaby Featuring Roddy Ricch,11,1,29
13,14,Before You Go,Lewis Capaldi,13,9,40
14,15,Go Crazy,Chris Brown & Young Thug,16,9,26
15,16,Dynamite,BTS,12,1,11
16,17,Watermelon Sugar,Harry Styles,15,1,33
17,18,Forever After All,Luke Combs,2,2,2
18,19,Kings & Queens,Ava Max,22,19,13
19,20,Said Sum,Moneybagg Yo,17,17,18
20,21,Lonely,Justin Bieber & benny blanco,27,14,3
21,22,Be Like That,Kane Brown With Swae Lee & Khalid,19,19,17
22,23,More Than My Hometown,Morgan Wallen,23,23,21
23,24,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",20,2,39
24,25,ily,surf mesa Featuring Emilee,25,25,24
25,26,Bang!,AJR,28,26,18
26,27,One Of Them Girls,Lee Brice,26,17,23
27,28,Got What I Got,Jason Aldean,21,16,23
28,29,Levitating,Dua Lipa Featuring DaBaby,42,29,5
29,30,What You Know Bout Love,Pop Smoke,29,25,9
30,31,Come & Go,Juice WRLD x Marshmello,24,2,17
31,32,Motive,Ariana Grande Featuring Doja Cat,-,32,1
32,33,Wonder,Shawn Mendes,32,18,5
33,34,Love You Like I Used To,Russell Dickerson,37,34,9
34,35,Off The Table,Ariana Grande Featuring The Weeknd,-,35,1
35,36,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,36,36,22
36,37,Adore You,Harry Styles,31,6,48
37,38,Pretty Heart,Parker McCollum,43,38,17
38,39,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,35,11,18
39,40,pov,Ariana Grande,-,40,1
40,41,Better Together,Luke Combs,30,30,5
41,42,Rags2Riches,Rod Wave Featuring ATR Son Son,40,12,19
42,43,Just Like Magic,Ariana Grande,-,43,1
43,44,Roses,SAINt JHN,39,4,33
44,45,Diamonds,Sam Smith,58,45,7
45,46,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,46,45,15
46,47,Shut Up,Ariana Grande,-,47,1
47,48,Thriller,Michael Jackson,-,4,20
48,49,Nasty,Ariana Grande,-,49,1
49,50,Break My Heart,Dua Lipa,44,13,32
50,51,Everywhere But On,Matt Stell,48,48,9
51,52,Safety Net,Ariana Grande Featuring Ty Dolla $ign,-,52,1
52,53,Mood Swings,Pop Smoke Featuring Lil Tjay,47,17,18
53,54,Tyler Herro,Jack Harlow,34,34,2
54,55,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,49,10,5
55,56,Lovin' On You,Luke Combs,41,23,19
56,57,Some Girls,Jameson Rodgers,45,29,13
57,58,I Should Probably Go To Bed,Dan + Shay,50,42,14
58,59,Franchise,Travis Scott Featuring Young Thug & M.I.A.,51,1,6
59,60,Hawai,Maluma,64,55,11
60,61,You Broke Me First.,Tate McRae,55,55,11
61,62,Popstar,DJ Khaled Featuring Drake,54,3,16
62,63,Six Thirty,Ariana Grande,-,63,1
63,64,"Big, Big Plans",Chris Lane,67,64,5
64,65,My Hair,Ariana Grande,-,65,1
65,66,24,Money Man Featuring Lil Baby,52,49,12
66,67,My Ex's Best Friend,Machine Gun Kelly X blackbear,57,28,12
67,68,Ain't Always The Cowboy,Jon Pardi,65,61,10
68,69,Starting Over,Chris Stapleton,63,57,10
69,70,Obvious,Ariana Grande,-,70,1
70,71,West Side,Ariana Grande,-,71,1
71,72,7 Summers,Morgan Wallen,60,6,12
72,73,Wishing Well,Juice WRLD,62,5,17
73,74,U 2 Luv,Ne-Yo & Jeremih,66,66,5
74,75,Love Language,Ariana Grande,-,75,1
75,76,Tap In,Saweetie,59,20,17
76,77,B.S.,Jhene Aiko Featuring H.E.R.,75,24,14
77,78,Don't Stop,Megan Thee Stallion Featuring Young Thug,72,30,5
78,79,Hit Different,SZA Featuring Ty Dolla $ign,68,29,9
79,80,Weeeeee,Trippie Redd,-,80,1
80,81,Martin & Gina,Polo G,73,61,14
81,82,Midnight Sky,Miley Cyrus,56,14,12
82,83,Runnin,21 Savage & Metro Boomin,61,9,5
83,84,Heather,Conan Gray,71,46,12
84,85,Good Time,Niko Moon,81,74,5
85,86,Golden,Harry Styles,74,74,3
86,87,Throat Baby (Go Baby),BRS Kash,93,87,3
87,88,Practice,DaBaby,86,86,2
88,89,Put Your Records On,Ritt Momney,80,79,5
89,90,Blind,DaBaby Featuring Young Thug,83,78,7
90,91,Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",79,64,9
91,92,Stay Down,"Lil Durk, 6LACK & Young Thug",-,92,1
92,93,Kacey Talk,YoungBoy Never Broke Again,85,50,12
93,94,Champagne Night,Lady A,90,90,3
94,95,Hole In The Bottle,Kelsea Ballerini,87,87,4
95,96,Happy Does,Kenny Chesney,92,85,3
96,97,So Done,The Kid LAROI,77,77,2
97,98,Thick,DJ Chose Featuring BeatKing,-,98,1
98,99,La Toxica,Farruko,98,98,2
99,100,Take You Dancing,Jason Derulo,-,100,1
